0.0,197.5
0.01,197.52
0.02,197.54
0.03,197.56
0.04,197.58
0.05,197.6
0.06,197.62
0.07,197.64
0.08,197.66
0.09,197.68
0.1,197.7
0.11,197.72
0.12,197.74
0.13,197.76
0.14,197.78
0.15,197.8
0.16,197.82
0.17,197.84
0.18,197.86
0.19,197.88
0.2,197.9
0.21,197.92
0.22,197.94
0.23,197.96
0.24,197.98
0.25,198.0
0.26,198.02
0.27,198.04
0.28,198.06
0.29,198.08
0.3,198.1
0.31,198.12
0.32,198.14
0.33,198.16
0.34,198.18
0.35,198.2
0.36,198.22
0.37,198.24
0.38,198.26
0.39,198.28
0.4,198.3
0.41,198.32
0.42,198.34
0.43,198.36
0.44,198.38
0.45,198.4
0.46,198.42
0.47,198.44
0.48,198.46
0.49,198.48
0.5,198.5
0.51,198.52
0.52,198.54
0.53,198.56
0.54,198.58
0.55,198.6
0.56,198.62
0.57,198.64
0.58,198.66
0.59,198.68
0.6,198.7
0.61,198.72
0.62,198.74
0.63,198.76
0.64,198.78
0.65,198.8
0.66,198.82
0.67,198.84
0.68,198.86
0.69,198.88
0.7,198.9
0.71,198.92
0.72,198.94
0.73,198.96
0.74,198.98
0.75,199.0
0.76,199.02
0.77,199.04
0.78,199.06
0.79,199.08
0.8,199.1
0.81,199.12
0.82,199.14
0.83,199.16
0.84,199.18
0.85,199.2
0.86,199.22
0.87,199.24
0.88,199.26
0.89,199.28
0.9,199.3
0.91,199.32
0.92,199.34
0.93,199.36
0.94,199.38
0.95,199.4
0.96,199.42
0.97,199.44
0.98,199.46
0.99,199.48
1.0,199.5
1.01,199.5
1.02,199.5
1.03,199.5
1.04,199.5
1.05,199.5
1.06,199.5
1.07,199.5
1.08,199.5
1.09,199.5
1.1,199.5
1.11,199.5
1.12,199.5
1.13,199.5
1.14,199.5
1.15,199.5
1.16,199.5
1.17,199.5
1.18,199.5
1.19,199.5
1.2,199.5
1.21,199.5
1.22,199.5
1.23,199.5
1.24,199.5
1.25,199.5
1.26,199.5
1.27,199.5
1.28,199.5
1.29,199.5
1.3,199.5
1.31,199.5
1.32,199.5
1.33,199.5
1.34,199.5
1.35,199.5
1.36,199.5
1.37,199.5
1.38,199.5
1.39,199.5
1.4,199.5
1.41,199.5
1.42,199.5
1.43,199.5
1.44,199.5
1.45,199.5
1.46,199.5
1.47,199.5
1.48,199.5
1.49,199.5
1.5,199.5
1.51,199.48
1.52,199.46
1.53,199.44
1.54,199.42
1.55,199.4
1.56,199.38
1.57,199.36
1.58,199.34
1.59,199.32
1.6,199.3
1.61,199.28
1.62,199.26
1.63,199.24
1.64,199.22
1.65,199.2
1.66,199.18
1.67,199.16
1.68,199.14
1.69,199.12
1.7,199.1
1.71,199.08
1.72,199.06
1.73,199.04
1.74,199.02
1.75,199.0
1.76,198.98
1.77,198.96
1.78,198.94
1.79,198.92
1.8,198.9
1.81,198.88
1.82,198.86
1.83,198.84
1.84,198.82
1.85,198.8
1.86,198.78
1.87,198.76
1.88,198.74
1.89,198.72
1.9,198.7
1.91,198.68
1.92,198.66
1.93,198.64
1.94,198.62
1.95,198.6
1.96,198.58
1.97,198.56
1.98,198.54
1.99,198.52
2.0,198.5
2.01,198.48
2.02,198.46
2.03,198.44
2.04,198.42
2.05,198.4
2.06,198.38
2.07,198.36
2.08,198.34
2.09,198.32
2.1,198.3
2.11,198.28
2.12,198.26
2.13,198.24
2.14,198.22
2.15,198.2
2.16,198.18
2.17,198.16
2.18,198.14
2.19,198.12
2.2,198.1
2.21,198.08
2.22,198.06
2.23,198.04
2.24,198.02
2.25,198.0
2.26,197.98
2.27,197.96
2.28,197.94
2.29,197.92
2.3,197.9
2.31,197.88
2.32,197.86
2.33,197.84
2.34,197.82
2.35,197.8
2.36,197.78
2.37,197.76
2.38,197.74
2.39,197.72
2.4,197.7
2.41,197.68
2.42,197.66
2.43,197.64
2.44,197.62
2.45,197.6
2.46,197.58
2.47,197.56
2.48,197.54
2.49,197.52
2.5,197.5
2.51,197.48
2.52,197.46
2.53,197.44
2.54,197.42
2.55,197.4
2.56,197.38
2.57,197.36
2.58,197.34
2.59,197.32
2.6,197.3
2.61,197.28
2.62,197.26
2.63,197.24
2.64,197.22
2.65,197.2
2.66,197.18
2.67,197.16
2.68,197.14
2.69,197.12
2.7,197.1
2.71,197.08
2.72,197.06
2.73,197.04
2.74,197.02
2.75,197.0
2.76,196.98
2.77,196.96
2.78,196.94
2.79,196.92
2.8,196.9
2.81,196.88
2.82,196.86
2.83,196.84
2.84,196.82
2.85,196.8
2.86,196.78
2.87,196.76
2.88,196.74
2.89,196.72
2.9,196.7
2.91,196.68
2.92,196.66
2.93,196.64
2.94,196.62
2.95,196.6
2.96,196.58
2.97,196.56
2.98,196.54
2.99,196.52
